EL1: Electronic Ladder,A1: DNA-1,B1: DNA-2,C1: DNA-3,D1: RNA-1,E1: RNA-2,F1: RNA-3,G1: RNA-4,H1: RNA-5
5.717152,4.469292,6.537756,4.44228,5.956017,6.718374,9.133646,10.73104,7.268832
7.287486,5.619192,8.012651,5.112385,6.805008,8.313475,11.26508,13.12696,8.669954
10.4692,7.056146,9.843409,5.817715,8.065251,10.47618,14.05695,16.3411,10.30821
14.7602,9.341777,12.31566,6.690387,9.620286,13.44112,17.58465,20.8324,13.09682
20.55191,11.87533,16.07441,8.584686,11.79605,17.30345,21.84508,26.15861,16.6895
27.7206,16.10954,21.15696,11.02971,14.51844,22.24322,27.92266,33.32155,21.48436
36.07933,22.062,27.29768,14.22114,18.74702,28.06946,35.60005,43.08286,28.3794
45.71934,29.46878,35.21947,18.83132,24.67032,35.38529,45.94297,54.60296,36.99213
56.66132,38.35324,44.65923,24.82921,32.06014,45.67481,58.60473,68.96092,47.90786
71.44839,49.5735,56.34354,32.39174,42.21146,58.65309,73.70877,86.55722,62.78609
88.85204,64.85374,71.71242,43.1382,55.10794,74.61836,92.3534,106.5696,80.24316
110.6609,82.61234,90.91488,57.36201,72.00813,94.2583,114.8476,130.9205,102.0362
135.5279,105.0994,115.3967,75.99103,93.75121,118.0215,141.7816,157.9462,128.4848
165.5821,132.6902,144.3106,98.96644,120.6132,144.9391,173.2565,189.6034,161.1952
198.5816,164.2527,176.8826,126.335,153.5708,177.9227,210.2709,227.4695,198.8786
235.9957,202.3108,215.3835,160.1946,190.9909,214.1586,251.5898,269.8293,241.1808
279.4512,246.6753,257.9415,200.6705,237.391,255.0785,297.2636,318.332,289.9815
328.4946,297.9369,307.5143,248.6897,290.3545,300.8911,349.5062,372.9007,343.6003
382.4092,356.3642,363.9711,306.8958,347.2293,353.8537,406.0977,433.5154,402.4838
441.3119,424.0488,426.3819,370.1262,411.8479,414.9131,469.3375,497.1779,467.5128
505.0765,501.1526,492.4371,439.3757,484.0602,482.2613,537.0245,565.0251,538.8395
571.6174,585.2293,565.0183,515.9,565.6775,556.1252,610.3865,637.1791,616.0487
638.367,675.1474,644.1923,601.1748,652.1017,629.7104,687.541,712.6437,694.8813
706.1789,769.2355,729.9874,697.2099,746.0414,707.3792,767.7632,790.2117,775.9067
767.7487,868.5295,818.1625,801.1302,845.3337,786.1667,852.2723,872.6032,859.1959
829.1092,969.7476,907.4142,908.2352,943.843,869.9071,936.4432,951.0187,943.8647
892.0231,1069.542,994.2155,1011.02,1041.614,951.9867,1017.87,1024.977,1027.693
955.201,1170.718,1075.106,1112.651,1138.426,1031.758,1091.632,1095.233,1108
1021.251,1266.389,1154.636,1211.598,1229.075,1106.712,1159.147,1157.989,1180.848
1080.399,1354.961,1223.465,1300.551,1312.952,1175.447,1219.331,1218.443,1244.731
1130.524,1433.584,1289.201,1387.849,1391.387,1239.322,1275.458,1268.106,1300.253
1173.049,1505.746,1348.15,1471.266,1462.459,1296.761,1324.698,1314.846,1346.183
1210.134,1565.929,1392.839,1540.579,1516.371,1346.558,1363.627,1348.728,1382.422
1241.454,1611.845,1428.458,1599.717,1558.726,1387.674,1394.245,1376.285,1408.698
1266.141,1644.271,1451.7,1644.447,1586.045,1417.737,1412.935,1394.059,1428.412
1281.336,1658.757,1465.721,1671.404,1601.833,1433.994,1419.41,1400.024,1430.746
1280.326,1655.961,1463.443,1675.4,1604.807,1440.351,1416.156,1397.943,1424.38
1272.266,1641.077,1456.116,1668.472,1599.555,1437.953,1406.447,1382.071,1401.965
1257.952,1614.424,1436.768,1648.367,1572.161,1422.032,1388.534,1360.953,1371.013
1235.567,1578.084,1399.286,1618.664,1531.864,1397.619,1360.751,1329.367,1328.986
1208.294,1530.092,1353.797,1575.578,1482.303,1363.436,1325.561,1293.32,1281.756
1170.759,1471.537,1301.389,1520.529,1414.254,1322.119,1282.287,1249.841,1235.6
1125.518,1403.644,1241.57,1454.668,1343.954,1274.205,1232.32,1200.148,1184.602
1073.425,1325.195,1179.998,1376.499,1272.06,1219.715,1173.748,1144.999,1128.51
1021.996,1244.509,1117.628,1293.217,1197.737,1158.21,1113.481,1084.214,1059.021
968.6837,1165.598,1046.999,1202.92,1116.588,1096.923,1048.459,1022.805,985.9195
913.2307,1072.281,970.749,1116.802,1037.684,1029.69,983.268,953.8044,913.5755
857.4514,981.8904,898.0448,1026.006,959.0271,957.7073,917.1988,885.2047,839.625
801.203,897.4253,825.4341,933.2245,875.5999,885.9882,848.6606,815.4559,770.7298
748.843,812.0115,751.5171,849.4656,791.4826,813.1765,781.8268,747.3871,700.1459
694.7668,734.4525,680.9238,769.2736,712.29,741.4719,714.0265,679.4287,631.9352
642.0506,664.9109,616.9183,691.4492,637.4725,672.2738,647.5803,613.6834,564.1871
588.9643,603.0751,551.5145,617.8735,568.2515,608.8883,583.7278,548.9094,501.3338
538.4634,536.6027,491.3119,553.1198,504.9994,545.916,523.942,486.0825,445.4323
490.0274,477.5828,437.3603,491.4061,450.7382,488.0511,468.9389,427.7644,393.3387
445.5099,425.7204,391.4152,433.3477,403.0395,430.88,416.1152,371.7532,348.5845
404.3232,376.9071,347.4846,383.9337,358.9194,376.0984,370.3019,322.1945,307.1441
365.8541,335.792,307.6639,339.7972,319.4708,331.1314,327.3277,278.8339,269.4525
331.0037,300.8605,276.148,300.7303,285.7182,291.9187,289.8744,240.7955,236.9825
299.7623,271.3821,245.4219,266.3864,254.4449,259.2552,258.3848,209.4972,206.8148
271.8374,245.2098,217.5239,236.7343,227.7223,229.0963,230.1559,183.8744,180.5283
246.0463,221.7472,194.5436,212.306,204.9716,203.8014,205.7968,161.73,159.0444
223.5635,199.9787,173.9718,191.8381,185.127,178.5184,184.7161,142.378,139.7613
203.6986,180.5687,155.6587,174.121,167.6116,157.1827,165.9438,126.2898,123.3654
186.4883,163.5546,138.89,157.9138,151.6359,138.8114,149.5859,113.0064,109.8735
171.518,148.6704,124.7474,143.6466,138.9441,123.3624,135.2619,101.1966,98.37759
157.4528,136.0093,112.7434,130.8839,127.5019,110.3663,123.0535,90.61312,87.66776
145.3089,125.0646,102.7546,119.4348,117.3653,98.91593,112.9824,81.71397,77.93075
134.3732,116.2572,94.26495,109.6728,108.021,89.1127,104.096,73.95499,69.67403
123.732,108.167,87.18581,100.9236,99.70333,80.96158,96.01594,66.77272,61.90893
113.7317,100.8283,80.13831,93.24339,91.53327,73.51947,88.40746,60.20418,55.61258
105.3761,93.72491,73.9835,86.04466,84.36053,66.90214,81.0797,54.48448,50.60859
97.85726,87.09857,68.36143,79.50986,77.96156,60.81187,74.06734,49.7423,46.90783
91.32284,81.02014,63.59293,74.34536,72.56378,55.84893,67.40381,45.24392,43.10941
84.79733,74.61437,58.67662,69.58734,67.90594,50.82072,61.5839,41.61321,39.58022
79.00802,69.26044,54.10735,64.82058,63.95244,46.31011,56.56685,38.18801,36.84456
72.58146,65.92359,50.41131,60.34954,60.69505,42.4575,52.35407,34.93211,34.42201
66.92933,62.61578,47.01072,56.65348,57.34097,39.44651,48.72923,31.79304,32.22506
62.18938,59.34315,43.87097,53.67607,54.12231,36.61251,45.35882,29.29163,30.08643
57.81656,56.08374,41.04227,50.8532,50.68396,34.15871,42.2435,27.60229,27.86262
52.90334,53.32001,38.67015,48.64772,47.72261,31.84274,39.31521,26.19762,25.5413
48.31885,50.44459,35.65761,46.59219,45.3081,29.7042,36.53761,24.92013,23.3932
44.98468,47.60246,33.1161,44.19977,43.36133,27.9938,34.39777,23.77318,21.29202
41.9765,45.46416,31.43651,41.58109,41.72453,26.5707,32.78642,22.91777,19.74559
39.63171,43.68765,29.81351,39.49697,39.73407,25.69349,31.57261,21.90042,18.37707
37.61033,41.44579,28.42921,37.71174,37.49656,24.55413,30.03412,20.65328,17.10209
34.72872,39.30442,27.15967,35.61957,35.94009,23.56123,28.43632,19.15361,15.89485
30.96472,37.33433,26.33202,34.47453,34.20218,22.37845,26.80113,17.72907,14.65902
27.20804,36.06722,25.5612,33.2034,32.99089,21.36287,25.53827,16.56151,13.59125
25.13426,34.48615,24.69732,32.06162,31.89821,20.4855,24.49379,15.64748,12.16718
23.24246,33.15993,24.21726,30.94526,31.05964,19.82149,23.46094,14.9286,11.16406
21.8576,31.94111,23.43468,29.74029,30.39578,19.19547,22.81306,14.21459,10.45415
20.93119,30.96181,22.58696,27.57238,29.62684,18.34449,22.06301,13.40766,9.985949
19.01236,29.76854,21.49224,26.04839,28.52505,17.95525,21.2747,12.403,10.10771
17.18057,28.65491,20.58243,25.10542,27.10591,17.48258,20.52533,11.55245,10.24257
15.31245,28.00519,19.93674,24.3555,25.48132,16.8298,19.65771,10.89975,10.19846
14.65904,26.94385,19.20966,23.70526,24.39559,16.2507,18.79824,10.35266,9.821302
13.92833,26.03226,18.85602,23.64718,23.8443,15.58721,18.03541,9.887085,9.12562
13.17121,25.22579,18.70212,23.28592,23.5459,14.97911,17.38783,9.533144,8.371839
12.97635,24.5264,18.51268,22.42566,23.43013,14.18007,16.91932,9.070878,7.564413
12.65219,23.71762,18.09453,21.39878,23.07137,13.88327,16.72784,8.779502,7.007965
11.46729,23.28755,17.73051,20.16913,22.57522,13.62151,16.32498,8.567149,6.685205
9.940373,22.7028,17.65373,19.04433,21.35576,13.23416,15.85441,8.398756,6.208821
9.435465,21.89337,17.62241,17.71112,20.46287,13.09457,15.42149,8.08775,6.141888
8.393463,20.8911,17.62408,16.99236,19.95323,12.67975,14.89865,7.64643,5.817792
7.730239,20.52381,17.55822,16.65177,19.00321,12.22199,14.40817,7.12972,5.079817
7.354624,19.72644,17.40096,16.1791,18.39697,11.73601,13.81666,6.706733,4.666972
6.591222,18.92586,17.15953,15.82969,18.10967,11.62764,13.45437,6.353935,4.445385
5.569711,18.48539,16.97146,15.25794,17.90099,11.31528,12.86027,6.175191,4.106051
5.134919,17.80303,16.80827,14.91788,17.4581,11.10421,12.12368,5.913304,3.730422
5.305371,17.64605,17.0169,14.06331,17.05621,10.90451,11.36528,5.639866,3.509954
5.255159,17.04205,17.08841,13.64067,16.39515,10.756,10.52563,5.306525,3.130025
4.918664,16.72084,16.93229,13.11753,15.21087,10.60326,10.12472,4.868183,2.457424
4.298412,16.15901,16.60143,12.16969,14.55382,10.15008,9.813538,4.683409,2.169263
3.44312,15.50298,16.13897,11.52058,14.41325,9.919101,9.783254,4.551511,2.624302
2.644036,15.23102,15.60827,11.32514,14.45292,9.501174,9.788967,4.969172,3.083131
2.759389,15.22379,14.9709,11.4107,14.73262,9.477171,9.688134,4.923503,3.153714
2.854925,15.38427,14.84511,11.53239,14.87493,9.410851,9.499158,4.814806,2.781141
3.334495,15.4796,14.67218,11.75248,14.43276,9.347661,9.1898,4.286217,2.271738
3.875963,15.36429,14.36957,11.83748,13.68608,9.205877,8.811893,3.644744,1.773105
4.317096,14.98201,14.24269,11.2032,13.22988,8.65774,8.331279,3.482942,1.726747
4.105534,14.65736,14.2078,10.70331,13.00853,8.241138,7.884913,3.229372,2.254972
4.037054,13.93738,13.86012,10.30885,12.90516,7.553222,7.433665,3.177649,2.581483
4.729577,13.07792,13.42699,9.731879,12.69596,7.357638,6.997532,2.888039,2.624656
5.035861,12.60792,13.21462,9.356406,12.05681,7.432431,6.928831,2.84371,2.1596
6.082286,12.69681,13.10837,8.58427,11.50027,7.432863,6.680543,2.490729,1.832462
7.887532,12.82993,12.6882,8.039747,10.59004,7.195588,6.435336,2.598048,1.359456
11.35135,12.59502,12.40294,7.606301,10.22317,6.765894,6.155266,2.726629,1.455166
15.99144,12.31435,12.2994,7.42133,9.843772,6.239259,6.093742,2.885482,1.484383
22.2206,11.80114,12.17353,7.342038,9.67199,5.808598,6.048401,2.451075,1.533154
30.32913,11.58495,12.09135,7.303799,9.541772,5.670987,5.923671,2.401914,1.40119
41.5482,11.87398,12.10038,7.532133,9.36395,5.81246,6.160095,2.658993,1.593056
57.39781,11.97957,12.18089,7.360468,9.274932,6.155008,6.121672,2.763882,1.425335
81.61704,11.84432,12.14612,7.04787,8.97149,6.264531,6.040265,2.811772,1.388794
113.3038,11.14804,11.99074,6.958636,8.352234,6.338369,5.827197,2.554982,1.326039
154.787,10.20909,12.01425,6.491842,7.745687,6.252947,5.632042,2.567758,1.200653
206.4607,9.669363,12.07242,5.69286,6.897255,6.165129,5.21416,2.16445,1.134695
275.0725,9.76756,12.17149,5.324745,6.575029,5.822458,4.975555,2.03632,1.434473
355.8177,9.622597,12.27757,4.856368,6.732178,5.516903,5.110593,2.115065,1.70207
