reporter	best_category	count
7mera1x2_9	PCR_chimera	7
7mera1x4_1	full_length	34
7mera1x4_1	PCR_chimera	1
7mera1x4_2	PCR_chimera	3
7mera1x4_2	ambiguous_deletion	3
7mera1x4_3	full_length	72
7mera1x4_3	spacer_not_cloned	23
7mera1x4_3	PCR_chimera	1
7mera1x4_3	ambiguous_deletion	1
7mera1x4_4	full_length	11
7mera1x4_4	ambiguous_deletion	5
7mera1x4_4	PCR_chimera	1
7mera1x4_5	full_length	18
7mera1x4_5	ambiguous_deletion	1
7mera1x4_6	PCR_chimera	253
7mera1x4_6	full_length	87
7mera1x4_6	ambiguous_deletion	10
7mera1x4_7	full_length	68
7mera1x4_7	PCR_chimera	9
7mera1x4_7	ambiguous_deletion	2
7mera1x4_8	full_length	165
7mera1x4_8	PCR_chimera	4
7mera1x4_9	full_length	109
7mera1x4_9	PCR_chimera	82
7mera1x4_9	ambiguous_deletion	4
7merm8x1_1	full_length	65
7merm8x1_1	ambiguous_deletion	24
7merm8x1_1	PCR_chimera	7
7merm8x1_10	full_length	266
7merm8x1_10	ambiguous_deletion	12
7merm8x1_10	PCR_chimera	11
7merm8x1_2	full_length	193
7merm8x1_2	PCR_chimera	111
7merm8x1_2	ambiguous_deletion	82
7merm8x1_2	spacer_not_cloned	28
7merm8x1_2	PRE-SPACER_mispriming	1
7merm8x1_3	full_length	15
7merm8x1_3	PCR_chimera	2
7merm8x1_3	ambiguous_deletion	1
7merm8x1_4	full_length	104
7merm8x1_4	ambiguous_deletion	48
7merm8x1_4	PCR_chimera	8
7merm8x1_4	spacer_not_cloned	2
7merm8x1_5	full_length	59
7merm8x1_5	ambiguous_deletion	31
7merm8x1_5	spacer_not_cloned	20
7merm8x1_5	PCR_chimera	6
7merm8x1_6	full_length	69
7merm8x1_6	PCR_chimera	54
7merm8x1_6	ambiguous_deletion	7
7merm8x1_7	PCR_chimera	141
7merm8x1_7	ambiguous_deletion	77
7merm8x1_7	full_length	48
7merm8x1_8	full_length	48
7merm8x1_8	ambiguous_deletion	3
7merm8x1_9	full_length	12
7merm8x1_9	PCR_chimera	4
7merm8x1_9	ambiguous_deletion	1
7merm8x1_9	spacer_not_cloned	1
7merm8x2_1	full_length	193
7merm8x2_1	PCR_chimera	85
7merm8x2_1	ambiguous_deletion	17
7merm8x2_10	PCR_chimera	292
7merm8x2_10	full_length	81
7merm8x2_10	ambiguous_deletion	9
7merm8x2_10	spacer_not_cloned	9
7merm8x2_2	PCR_chimera	200
7merm8x2_2	full_length	111
7merm8x2_2	ambiguous_deletion	30
7merm8x2_2	spacer_not_cloned	6
7merm8x2_3	full_length	159
7merm8x2_3	ambiguous_deletion	14
7merm8x2_3	PCR_chimera	8
7merm8x2_3	spacer_not_cloned	8
7merm8x2_4	full_length	115
7merm8x2_4	spacer_not_cloned	13
7merm8x2_4	PCR_chimera	5
7merm8x2_4	ambiguous_deletion	3
7merm8x2_5	full_length	24
7merm8x2_5	ambiguous_deletion	3
7merm8x2_5	PCR_chimera	1
7merm8x2_6	full_length	217
7merm8x2_6	PCR_chimera	28
7merm8x2_6	ambiguous_deletion	15
7merm8x2_7	PCR_chimera	38
7merm8x2_7	full_length	26
7merm8x2_7	ambiguous_deletion	3
7merm8x2_8	full_length	20
7merm8x2_8	ambiguous_deletion	13
7merm8x2_8	spacer_not_cloned	9
7merm8x2_8	PCR_chimera	4
7merm8x2_9	PCR_chimera	45
7merm8x2_9	full_length	16
7merm8x4_1	full_length	7
7merm8x4_1	ambiguous_deletion	1
7merm8x4_10	full_length	119
7merm8x4_10	ambiguous_deletion	32
7merm8x4_10	spacer_not_cloned	6
7merm8x4_10	PCR_chimera	4
7merm8x4_2	PCR_chimera	25
7merm8x4_2	full_length	1
7merm8x4_3	PCR_chimera	5
7merm8x4_3	ambiguous_deletion	2
7merm8x4_3	full_length	1
7merm8x4_4	ambiguous_deletion	11
7merm8x4_4	PCR_chimera	2
7merm8x4_5	full_length	78
7merm8x4_5	PCR_chimera	1
7merm8x4_5	ambiguous_deletion	1
7merm8x4_6	full_length	149
7merm8x4_6	PCR_chimera	86
7merm8x4_6	ambiguous_deletion	5
7merm8x4_7	full_length	27
7merm8x4_7	PCR_chimera	2
7merm8x4_7	ambiguous_deletion	2
7merm8x4_8	full_length	195
7merm8x4_8	PCR_chimera	4
7merm8x4_8	ambiguous_deletion	3
7merm8x4_8	spacer_not_cloned	1
7merm8x4_9	full_length	78
7merm8x4_9	ambiguous_deletion	67
7merm8x4_9	PCR_chimera	1
7pcx1_1	full_length	131
7pcx1_1	ambiguous_deletion	41
7pcx1_1	PCR_chimera	31
7pcx1_1	spacer_not_cloned	16
7pcx1_10	full_length	51
7pcx1_10	spacer_not_cloned	8
7pcx1_10	PCR_chimera	2
7pcx1_10	ambiguous_deletion	2
7pcx1_2	PCR_chimera	97
7pcx1_2	full_length	76
7pcx1_2	spacer_not_cloned	13
7pcx1_2	ambiguous_deletion	10
7pcx1_3	full_length	209
7pcx1_3	PCR_chimera	53
7pcx1_3	ambiguous_deletion	29
7pcx1_3	spacer_not_cloned	5
7pcx1_4	full_length	57
7pcx1_4	PCR_chimera	2
7pcx1_4	ambiguous_deletion	1
7pcx1_5	full_length	191
7pcx1_5	spacer_not_cloned	43
7pcx1_5	PCR_chimera	5
7pcx1_5	ambiguous_deletion	5
7pcx1_6	full_length	170
7pcx1_6	ambiguous_deletion	14
7pcx1_6	PCR_chimera	11
7pcx1_6	PRE-SPACER_mispriming	1
7pcx1_7	full_length	337
7pcx1_7	PCR_chimera	37
7pcx1_7	ambiguous_deletion	15
7pcx1_7	spacer_not_cloned	1
7pcx1_8	full_length	78
7pcx1_8	spacer_not_cloned	10
7pcx1_8	ambiguous_deletion	9
7pcx1_8	PCR_chimera	3
7pcx1_8	spliced-CTTCTA_180_TTGCCA_280	1
7pcx1_9	PCR_chimera	54
7pcx1_9	full_length	40
7pcx2_1	PCR_chimera	500
7pcx2_1	full_length	304
7pcx2_1	ambiguous_deletion	7
7pcx2_10	full_length	68
7pcx2_10	ambiguous_deletion	24
7pcx2_10	PCR_chimera	8
7pcx2_10	spacer_not_cloned	3
7pcx2_2	full_length	226
7pcx2_2	PCR_chimera	11
7pcx2_2	ambiguous_deletion	3
7pcx2_3	full_length	36
7pcx2_3	PCR_chimera	15
7pcx2_3	ambiguous_deletion	6
7pcx2_3	spacer_not_cloned	3
7pcx2_4	full_length	207
7pcx2_4	ambiguous_deletion	30
7pcx2_4	spacer_not_cloned	14
7pcx2_4	PCR_chimera	5
7pcx2_5	full_length	91
7pcx2_5	PCR_chimera	53
7pcx2_5	ambiguous_deletion	12
7pcx2_5	spacer_not_cloned	9
7pcx2_6	PCR_chimera	55
7pcx2_6	full_length	25
7pcx2_6	ambiguous_deletion	10
7pcx2_6	spacer_not_cloned	4
7pcx2_7	full_length	290
7pcx2_7	ambiguous_deletion	144
7pcx2_7	PCR_chimera	57
7pcx2_7	spacer_not_cloned	5
7pcx2_8	full_length	102
7pcx2_8	PCR_chimera	11
7pcx2_8	ambiguous_deletion	7
7pcx2_9	full_length	375
7pcx2_9	PCR_chimera	60
7pcx2_9	ambiguous_deletion	15
7pcx2_9	spacer_not_cloned	10
7pcx4_1	ambiguous_deletion	2
7pcx4_1	PCR_chimera	1
7pcx4_1	full_length	1
7pcx4_10	full_length	31
7pcx4_10	ambiguous_deletion	2
7pcx4_10	PCR_chimera	1
7pcx4_10	spacer_not_cloned	1
7pcx4_11	spacer_not_cloned	84
7pcx4_11	PCR_chimera	19
7pcx4_11	full_length	4
7pcx4_11	ambiguous_deletion	1
7pcx4_12	full_length	288
7pcx4_12	ambiguous_deletion	9
7pcx4_12	PCR_chimera	7
7pcx4_13	full_length	25
7pcx4_13	PCR_chimera	1
7pcx4_14	full_length	104
7pcx4_14	ambiguous_deletion	34
7pcx4_14	PCR_chimera	24
7pcx4_15	full_length	26
7pcx4_15	PCR_chimera	1
7pcx4_15	ambiguous_deletion	1
7pcx4_16	full_length	93
7pcx4_16	ambiguous_deletion	3
7pcx4_17	full_length	82
7pcx4_17	ambiguous_deletion	17
7pcx4_17	PCR_chimera	2
7pcx4_18	PCR_chimera	5
7pcx4_18	full_length	3
7pcx4_19	ambiguous_deletion	2
7pcx4_19	PCR_chimera	1
7pcx4_2	full_length	68
7pcx4_2	PCR_chimera	9
7pcx4_2	ambiguous_deletion	1
7pcx4_20	full_length	18
7pcx4_20	ambiguous_deletion	3
7pcx4_20	PCR_chimera	2
7pcx4_21	full_length	210
7pcx4_21	PCR_chimera	7
7pcx4_21	ambiguous_deletion	2
7pcx4_22	full_length	36
7pcx4_22	ambiguous_deletion	1
7pcx4_22	spacer_not_cloned	1
7pcx4_23	full_length	2
7pcx4_23	ambiguous_deletion	1
7pcx4_24	full_length	169
7pcx4_24	ambiguous_deletion	32
7pcx4_24	PCR_chimera	14
7pcx4_25	PCR_chimera	29
7pcx4_25	full_length	16
7pcx4_26	PCR_chimera	2
7pcx4_27	ambiguous_deletion	2
7pcx4_27	PCR_chimera	1
7pcx4_28	ambiguous_deletion	174
7pcx4_28	PCR_chimera	106
7pcx4_28	full_length	49
7pcx4_28	spacer_not_cloned	17
7pcx4_28	PRE-SPACER_mispriming	1
7pcx4_29	full_length	15
7pcx4_29	PCR_chimera	1
7pcx4_29	ambiguous_deletion	1
7pcx4_3	ambiguous_deletion	35
7pcx4_3	PCR_chimera	3
7pcx4_3	full_length	2
7pcx4_3	spacer_not_cloned	1
7pcx4_30	full_length	98
7pcx4_30	PCR_chimera	3
7pcx4_30	ambiguous_deletion	3
7pcx4_30	spacer_not_cloned	1
7pcx4_31	full_length	9
7pcx4_31	PCR_chimera	8
7pcx4_31	ambiguous_deletion	3
7pcx4_32	full_length	120
7pcx4_32	PCR_chimera	14
7pcx4_32	ambiguous_deletion	3
7pcx4_33	full_length	87
7pcx4_33	PCR_chimera	4
7pcx4_33	ambiguous_deletion	2
7pcx4_34	PCR_chimera	108
7pcx4_34	ambiguous_deletion	76
7pcx4_34	full_length	39
7pcx4_34	spacer_not_cloned	1
7pcx4_35	full_length	134
7pcx4_35	PCR_chimera	59
7pcx4_35	ambiguous_deletion	8
7pcx4_36	full_length	161
7pcx4_36	PCR_chimera	92
7pcx4_36	ambiguous_deletion	21
7pcx4_36	AG_junction_high_mismatch-ACCTCA_217_TCGCAA_251	1
7pcx4_37	full_length	13
7pcx4_37	ambiguous_deletion	1
7pcx4_38	full_length	98
7pcx4_38	PCR_chimera	1
7pcx4_38	ambiguous_deletion	1
7pcx4_39	full_length	116
7pcx4_39	spacer_not_cloned	6
7pcx4_39	ambiguous_deletion	4
7pcx4_39	PCR_chimera	2
7pcx4_4	ambiguous_deletion	156
7pcx4_4	full_length	31
7pcx4_4	PCR_chimera	2
7pcx4_40	full_length	34
7pcx4_40	PCR_chimera	1
7pcx4_40	ambiguous_deletion	1
7pcx4_41	PCR_chimera	26
7pcx4_41	full_length	17
7pcx4_41	ambiguous_deletion	1
7pcx4_41	spacer_not_cloned	1
7pcx4_42	full_length	148
7pcx4_42	PCR_chimera	10
7pcx4_42	ambiguous_deletion	9
7pcx4_43	full_length	75
7pcx4_43	PCR_chimera	3
7pcx4_43	ambiguous_deletion	3
7pcx4_43	spacer_not_cloned	1
7pcx4_44	full_length	178
7pcx4_44	ambiguous_deletion	3
7pcx4_44	PCR_chimera	2
7pcx4_45	full_length	352
7pcx4_45	PCR_chimera	11
7pcx4_45	ambiguous_deletion	7
7pcx4_46	full_length	93
7pcx4_46	PCR_chimera	81
7pcx4_46	ambiguous_deletion	81
7pcx4_47	full_length	84
7pcx4_47	PCR_chimera	4
7pcx4_47	ambiguous_deletion	3
7pcx4_48	spacer_not_cloned	57
7pcx4_48	ambiguous_deletion	19
7pcx4_49	PCR_chimera	3
7pcx4_5	full_length	46
7pcx4_5	ambiguous_deletion	2
7pcx4_5	PCR_chimera	1
7pcx4_50	PCR_chimera	192
7pcx4_50	full_length	113
7pcx4_50	ambiguous_deletion	3
7pcx4_6	full_length	208
7pcx4_6	ambiguous_deletion	150
7pcx4_6	PCR_chimera	9
7pcx4_7	PCR_chimera	68
7pcx4_7	full_length	49
7pcx4_7	ambiguous_deletion	5
7pcx4_8	ambiguous_deletion	23
7pcx4_9	full_length	6
7pcx4_9	PCR_chimera	3
7pcx4_9	ambiguous_deletion	1
AAAA_1	PCR_chimera	1
AAAA_10	PCR_chimera	15
AAAA_10	ambiguous_deletion	1
AAAA_2	PCR_chimera	34
AAAA_2	ambiguous_deletion	1
AAAA_7	PCR_chimera	21
AAAA_8	PCR_chimera	14
AAAB_1	PCR_chimera	37
AAAB_1	ambiguous_deletion	3
AAAB_1	AG_junction_high_mismatch-GTACAA_132_CCTCGA_261	2
AAAB_10	ambiguous_deletion	65
AAAB_10	PCR_chimera	59
AAAB_2	PCR_chimera	2
AAAB_2	ambiguous_deletion	1
AAAB_3	PCR_chimera	66
AAAB_3	ambiguous_deletion	3
AAAB_4	PCR_chimera	13
AAAB_4	ambiguous_deletion	3
AAAB_5	PCR_chimera	28
AAAB_5	ambiguous_deletion	1
AAAB_5	spliced-GTACAA_132_CCTCGA_261	1
AAAB_6	PCR_chimera	50
AAAB_6	ambiguous_deletion	11
AAAB_7	ambiguous_deletion	1
AAAB_8	full_length	37
AAAB_8	PCR_chimera	11
AAAB_8	spliced-GTACAA_132_CCTCGA_261	7
AAAB_8	ambiguous_deletion	3
AAAB_9	ambiguous_deletion	43
AAAB_9	spacer_not_cloned	19
AAAB_9	PCR_chimera	7
AAAL_1	PCR_chimera	5
AAAL_10	ambiguous_deletion	3
AAAL_10	PCR_chimera	1
AAAL_10	full_length	1
AAAL_2	PCR_chimera	4
AAAL_2	ambiguous_deletion	2
AAAL_4	PCR_chimera	32
AAAL_5	full_length	1
AAAL_6	spacer_not_cloned	1
AAAL_8	PCR_chimera	75
AAAL_8	ambiguous_deletion	9
AAAL_9	PCR_chimera	60
AAAL_9	spliced-GTACAA_132_ACTATA_262	2
AAAL_9	ambiguous_deletion	1
AAAS_10	PCR_chimera	42
AAAS_10	full_length	16
AAAS_2	PCR_chimera	82
AAAS_2	ambiguous_deletion	2
AAAS_2	full_length	2
AAAS_3	ambiguous_deletion	12
AAAS_4	PCR_chimera	11
AAAS_4	ambiguous_deletion	1
AAAS_4	spacer_not_cloned	1
AAAS_5	PCR_chimera	38
AAAS_5	full_length	20
AAAS_5	ambiguous_deletion	4
AAAS_6	PCR_chimera	2
AAAS_6	ambiguous_deletion	1
AAAS_6	full_length	1
AAAS_7	ambiguous_deletion	4
AAAS_7	PCR_chimera	3
AAAS_8	ambiguous_deletion	32
AAAS_8	PCR_chimera	31
AAAS_9	PCR_chimera	19
AAAp_1	PCR_chimera	30
AAAp_1	ambiguous_deletion	1
AAAp_10	PCR_chimera	1
AAAp_2	PCR_chimera	1
AAAp_3	PCR_chimera	26
AAAp_4	PCR_chimera	5
AAAp_4	ambiguous_deletion	3
AAAp_5	PCR_chimera	4
AAAp_6	PCR_chimera	39
AAAp_6	full_length	37
AAAp_6	ambiguous_deletion	4
AAAp_7	PCR_chimera	49
AAAp_7	spliced-GTACAA_132_CTCCGA_261	11
AAAp_7	ambiguous_deletion	2
AAAp_8	PCR_chimera	3
AAAp_8	ambiguous_deletion	1
AAAp_8	full_length	1
AAAp_9	PCR_chimera	241
AAAp_9	ambiguous_deletion	2
AABA_1	full_length	137
AABA_1	ambiguous_deletion	4
AABA_1	PCR_chimera	2
AABA_10	full_length	265
AABA_10	spacer_not_cloned	10
AABA_10	PCR_chimera	4
AABA_10	ambiguous_deletion	3
AABA_2	full_length	359
AABA_2	PCR_chimera	8
AABA_2	ambiguous_deletion	6
AABA_2	spacer_not_cloned	4
AABA_3	full_length	129
AABA_4	full_length	4
AABA_5	ambiguous_deletion	1554
AABA_5	full_length	100
AABA_5	PRE-SPACER_mispriming	4
AABA_5	PCR_chimera	3
AABA_6	full_length	1352
AABA_6	PCR_chimera	34
AABA_6	spacer_not_cloned	18
AABA_6	ambiguous_deletion	4
AABA_7	full_length	86
AABA_7	PCR_chimera	59
AABA_7	spacer_not_cloned	6
AABA_7	ambiguous_deletion	2
AABA_8	full_length	235
AABA_8	PRE-SPACER_mispriming	13
AABA_8	PCR_chimera	6
AABA_8	ambiguous_deletion	1
AABA_9	full_length	441
AABA_9	ambiguous_deletion	35
AABA_9	PCR_chimera	20
AABB_1	full_length	691
AABB_1	ambiguous_deletion	28
AABB_1	PCR_chimera	7
AABB_10	spacer_not_cloned	39
AABB_10	PCR_chimera	22
AABB_10	full_length	17
AABB_2	full_length	192
AABB_2	PCR_chimera	3
AABB_2	ambiguous_deletion	3
AABB_2	spacer_not_cloned	1
AABB_3	full_length	330
AABB_3	PCR_chimera	51
AABB_3	ambiguous_deletion	7
AABB_4	full_length	1692
AABB_4	PCR_chimera	171
AABB_4	ambiguous_deletion	50
AABB_4	spacer_not_cloned	20
AABB_4	PRE-SPACER_mispriming	2
AABB_4	spliced-GTACAA_132_CCTCGA_228	2
AABB_5	full_length	740
AABB_5	PCR_chimera	140
AABB_5	ambiguous_deletion	25
AABB_5	PRE-SPACER_mispriming	2
AABB_6	full_length	499
AABB_6	spacer_not_cloned	28
AABB_6	PCR_chimera	15
AABB_6	ambiguous_deletion	10
AABB_7	full_length	234
AABB_7	PCR_chimera	4
AABB_7	ambiguous_deletion	2
AABB_8	full_length	384
AABB_8	ambiguous_deletion	15
AABB_8	spacer_not_cloned	15
AABB_8	PCR_chimera	9
AABB_9	full_length	259
AABB_9	ambiguous_deletion	5
AABB_9	PCR_chimera	3
AABB_9	spliced-GTACAA_132_CCTCGA_261	2
AABL_1	full_length	891
AABL_1	PCR_chimera	67
AABL_1	ambiguous_deletion	9
AABL_10	full_length	1024
AABL_10	PCR_chimera	30
AABL_10	ambiguous_deletion	9
AABL_2	full_length	113
AABL_2	PCR_chimera	10
AABL_3	full_length	844
AABL_3	PCR_chimera	34
AABL_3	spacer_not_cloned	9
AABL_3	ambiguous_deletion	8
AABL_4	full_length	21
AABL_4	spacer_not_cloned	10
AABL_4	ambiguous_deletion	1
AABL_5	full_length	599
AABL_5	ambiguous_deletion	6
AABL_5	PCR_chimera	4
AABL_5	spliced-GTACAA_132_CCTCGA_228	4
AABL_6	full_length	83
AABL_6	ambiguous_deletion	1
AABL_7	full_length	1523
AABL_7	spacer_not_cloned	25
AABL_7	ambiguous_deletion	24
AABL_7	PCR_chimera	8
AABL_8	full_length	90
AABL_8	PCR_chimera	24
AABL_8	spacer_not_cloned	24
AABL_8	ambiguous_deletion	1
AABL_9	full_length	1193
AABL_9	PCR_chimera	100
AABL_9	ambiguous_deletion	51
AABS_1	full_length	251
AABS_1	PCR_chimera	4
AABS_1	ambiguous_deletion	2
AABS_10	full_length	218
AABS_10	spacer_not_cloned	60
AABS_10	ambiguous_deletion	2
AABS_2	full_length	974
AABS_2	PCR_chimera	60
AABS_2	ambiguous_deletion	17
AABS_3	full_length	534
AABS_3	PCR_chimera	201
AABS_3	spacer_not_cloned	18
AABS_3	ambiguous_deletion	15
AABS_4	full_length	329
AABS_4	spacer_not_cloned	21
AABS_4	ambiguous_deletion	6
AABS_4	PCR_chimera	5
AABS_5	full_length	1620
AABS_5	ambiguous_deletion	29
AABS_5	spacer_not_cloned	16
AABS_5	PCR_chimera	15
AABS_5	AG_junction_high_mismatch-GTACAA_132_CCTCGA_228	6
AABS_5	spliced-GTACAA_132_CCTCGA_228	2
AABS_6	full_length	478
AABS_6	ambiguous_deletion	33
AABS_6	spacer_not_cloned	11
AABS_6	PCR_chimera	5
AABS_7	full_length	127
AABS_7	ambiguous_deletion	86
AABS_7	PCR_chimera	2
AABS_8	full_length	424
AABS_8	spacer_not_cloned	72
AABS_8	PCR_chimera	39
AABS_8	ambiguous_deletion	38
AABS_9	full_length	632
AABS_9	ambiguous_deletion	12
AABS_9	PCR_chimera	3
AABS_9	AG_junction_high_mismatch-GTACAA_132_CCTCGA_228	2
AABp_1	full_length	213
AABp_1	spacer_not_cloned	35
AABp_1	PCR_chimera	4
AABp_1	ambiguous_deletion	1
AABp_10	full_length	898
AABp_10	PCR_chimera	92
AABp_10	spacer_not_cloned	18
AABp_10	ambiguous_deletion	10
AABp_10	AG_junction_high_mismatch-GTACAA_132_CCTCGA_228	1
AABp_2	full_length	132
AABp_2	PCR_chimera	1
AABp_3	full_length	1350
AABp_3	ambiguous_deletion	23
AABp_3	PCR_chimera	14
AABp_4	full_length	129
AABp_4	spacer_not_cloned	16
AABp_4	PCR_chimera	2
AABp_4	ambiguous_deletion	1
AABp_5	full_length	690
AABp_5	PCR_chimera	289
AABp_5	spacer_not_cloned	74
AABp_5	ambiguous_deletion	20
AABp_5	spliced-GTACAA_132_CCTCGA_228	1
AABp_6	full_length	273
AABp_6	PCR_chimera	51
AABp_6	spacer_not_cloned	23
AABp_6	ambiguous_deletion	8
AABp_7	full_length	123
AABp_7	PCR_chimera	60
AABp_7	spacer_not_cloned	11
AABp_7	ambiguous_deletion	2
AABp_8	full_length	207
AABp_8	PCR_chimera	4
AABp_8	spacer_not_cloned	1
AABp_9	full_length	2053
AABp_9	ambiguous_deletion	29
AABp_9	PCR_chimera	22
AABp_9	spacer_not_cloned	7
AALA_1	full_length	110
AALA_1	PCR_chimera	2
AALA_10	full_length	404
