reporter	class	count
7merm8x4_3	chimeric	4
7merm8x4_4	full_length	64
7merm8x4_4	ambiguous	15
7merm8x4_4	RT_error	1
7merm8x4_4	chimeric	1
7merm8x4_5	full_length	58
7merm8x4_5	ambiguous	5
7merm8x4_5	chimeric	1
7merm8x4_6	full_length	152
7merm8x4_6	chimeric	110
7merm8x4_6	ambiguous	2
7merm8x4_7	full_length	86
7merm8x4_7	chimeric	2
7merm8x4_8	full_length	161
7merm8x4_8	chimeric	35
7merm8x4_8	ambiguous	4
7merm8x4_8	RT_error	3
7merm8x4_9	full_length	230
7merm8x4_9	ambiguous	41
7merm8x4_9	chimeric	4
7merm8x4_9	RT_error	1
7pcx1_1	full_length	15
7pcx1_1	ambiguous	2
7pcx1_1	chimeric	1
7pcx1_10	full_length	6
7pcx1_10	ambiguous	4
7pcx1_10	chimeric	2
7pcx1_2	chimeric	181
7pcx1_2	full_length	7
7pcx1_2	ambiguous	4
7pcx1_3	chimeric	24
7pcx1_3	full_length	17
7pcx1_3	ambiguous	5
7pcx1_4	full_length	6
7pcx1_4	ambiguous	1
7pcx1_5	full_length	40
7pcx1_5	chimeric	17
7pcx1_5	ambiguous	12
7pcx1_6	chimeric	17
7pcx1_6	full_length	9
7pcx1_6	ambiguous	4
7pcx1_7	chimeric	36
7pcx1_7	full_length	20
7pcx1_7	ambiguous	2
7pcx1_8	chimeric	26
7pcx1_8	ambiguous	6
7pcx1_8	full_length	4
7pcx1_9	chimeric	35
7pcx1_9	full_length	2
7pcx1_9	ambiguous	1
7pcx2_1	chimeric	508
7pcx2_1	full_length	41
7pcx2_1	ambiguous	10
7pcx2_10	full_length	26
7pcx2_10	chimeric	16
7pcx2_10	ambiguous	1
7pcx2_2	full_length	40
7pcx2_2	ambiguous	3
7pcx2_2	chimeric	1
7pcx2_3	full_length	10
7pcx2_3	ambiguous	2
7pcx2_4	full_length	28
7pcx2_4	ambiguous	5
7pcx2_4	ACCTCA_184_TCGCAA_251	1
7pcx2_5	full_length	19
7pcx2_5	chimeric	10
7pcx2_5	ambiguous	4
7pcx2_6	chimeric	12
7pcx2_6	full_length	10
7pcx2_6	ambiguous	1
7pcx2_7	full_length	51
7pcx2_7	ambiguous	42
7pcx2_7	chimeric	16
7pcx2_8	full_length	20
7pcx2_8	ambiguous	7
7pcx2_8	chimeric	1
7pcx2_9	full_length	96
7pcx2_9	ambiguous	14
7pcx2_9	chimeric	5
7pcx4_1	full_length	27
7pcx4_1	ambiguous	6
7pcx4_1	chimeric	1
7pcx4_10	full_length	31
7pcx4_10	ambiguous	3
7pcx4_11	cannot_find_barcode	82
7pcx4_12	full_length	194
7pcx4_12	chimeric	10
7pcx4_12	ambiguous	5
7pcx4_13	full_length	44
7pcx4_13	ambiguous	15
7pcx4_13	chimeric	1
7pcx4_14	full_length	59
7pcx4_14	chimeric	33
7pcx4_14	ambiguous	18
7pcx4_15	full_length	15
7pcx4_16	full_length	34
7pcx4_16	ambiguous	2
7pcx4_17	full_length	49
7pcx4_17	ambiguous	3
7pcx4_17	chimeric	1
7pcx4_18	full_length	31
7pcx4_18	ambiguous	11
7pcx4_19	full_length	66
7pcx4_19	chimeric	5
7pcx4_19	ambiguous	1
7pcx4_2	full_length	9
7pcx4_2	ambiguous	1
7pcx4_20	full_length	54
7pcx4_20	ambiguous	4
7pcx4_20	chimeric	1
7pcx4_21	full_length	73
7pcx4_21	ambiguous	2
7pcx4_21	chimeric	2
7pcx4_22	full_length	35
7pcx4_22	ambiguous	1
7pcx4_23	full_length	48
7pcx4_23	ambiguous	1
7pcx4_24	full_length	298
7pcx4_24	ambiguous	15
7pcx4_24	chimeric	7
7pcx4_25	chimeric	34
7pcx4_25	full_length	13
7pcx4_25	ambiguous	4
7pcx4_26	full_length	9
7pcx4_26	ambiguous	4
7pcx4_27	full_length	57
7pcx4_27	ambiguous	2
7pcx4_27	chimeric	2
7pcx4_28	cannot_find_barcode	2398
7pcx4_29	full_length	29
7pcx4_29	ambiguous	10
7pcx4_29	chimeric	4
7pcx4_3	full_length	67
7pcx4_3	chimeric	9
7pcx4_3	ambiguous	1
7pcx4_30	full_length	64
7pcx4_30	chimeric	3
7pcx4_31	full_length	29
7pcx4_31	ambiguous	5
7pcx4_31	chimeric	2
7pcx4_32	full_length	67
7pcx4_32	chimeric	2
7pcx4_33	full_length	77
7pcx4_33	ambiguous	1
7pcx4_33	chimeric	1
7pcx4_34	full_length	298
7pcx4_34	chimeric	30
7pcx4_34	ambiguous	1
7pcx4_35	full_length	149
7pcx4_35	chimeric	91
7pcx4_35	ambiguous	2
7pcx4_36	full_length	267
7pcx4_36	chimeric	37
7pcx4_36	ambiguous	4
7pcx4_37	full_length	3
7pcx4_37	ambiguous	2
7pcx4_38	full_length	61
7pcx4_38	ambiguous	1
7pcx4_38	chimeric	1
7pcx4_39	full_length	78
7pcx4_39	ambiguous	4
7pcx4_4	full_length	56
7pcx4_4	chimeric	7
7pcx4_40	full_length	14
7pcx4_40	ambiguous	11
7pcx4_41	full_length	6
7pcx4_42	full_length	282
7pcx4_42	chimeric	4
7pcx4_42	ambiguous	3
7pcx4_43	full_length	125
7pcx4_43	chimeric	7
7pcx4_43	ambiguous	6
7pcx4_44	full_length	51
7pcx4_44	ambiguous	2
7pcx4_44	chimeric	2
7pcx4_45	full_length	276
7pcx4_45	ambiguous	43
7pcx4_45	chimeric	27
7pcx4_46	full_length	89
7pcx4_46	chimeric	74
7pcx4_46	ambiguous	2
7pcx4_47	full_length	58
7pcx4_47	ambiguous	6
7pcx4_47	chimeric	3
7pcx4_48	ambiguous	18
7pcx4_48	full_length	8
7pcx4_48	ACCTCA_184_TCGCAA_251	1
7pcx4_48	chimeric	1
7pcx4_49	full_length	30
7pcx4_49	chimeric	7
7pcx4_5	full_length	30
7pcx4_50	chimeric	147
7pcx4_50	full_length	36
7pcx4_50	ambiguous	6
7pcx4_6	full_length	367
7pcx4_6	ambiguous	9
7pcx4_6	chimeric	3
7pcx4_7	full_length	165
7pcx4_7	chimeric	11
7pcx4_7	ambiguous	5
7pcx4_8	full_length	6
7pcx4_9	full_length	13
AAAA_1	full_length	55
AAAA_1	chimeric	12
AAAA_10	full_length	145
AAAA_10	chimeric	53
AAAA_10	ambiguous	1
AAAA_2	full_length	199
AAAA_2	chimeric	86
AAAA_2	ambiguous	3
AAAA_3	full_length	161
AAAA_3	chimeric	14
AAAA_3	ambiguous	2
AAAA_4	full_length	600
AAAA_4	chimeric	109
AAAA_4	ambiguous	3
AAAA_5	ambiguous	36
AAAA_5	full_length	11
AAAA_5	chimeric	3
AAAA_6	full_length	42
AAAA_6	chimeric	2
AAAA_7	full_length	28
AAAA_7	ambiguous	15
AAAA_7	chimeric	14
AAAA_8	full_length	74
AAAA_8	chimeric	7
AAAA_8	ambiguous	1
AAAA_9	full_length	122
AAAA_9	chimeric	27
AAAB_1	full_length	263
AAAB_1	chimeric	7
AAAB_1	ambiguous	1
AAAB_10	full_length	106
AAAB_10	ambiguous	31
AAAB_2	full_length	145
AAAB_2	chimeric	1
AAAB_3	full_length	623
AAAB_3	chimeric	25
AAAB_4	full_length	450
AAAB_4	chimeric	3
AAAB_4	ambiguous	1
AAAB_5	full_length	271
AAAB_5	chimeric	7
AAAB_5	ambiguous	1
AAAB_6	full_length	897
AAAB_6	chimeric	24
AAAB_6	ambiguous	2
AAAB_6	RT_error	1
AAAB_7	full_length	50
AAAB_7	chimeric	1
AAAB_8	full_length	217
AAAB_8	ambiguous	1
AAAB_9	full_length	233
AAAB_9	ambiguous	30
AAAB_9	chimeric	4
AAAL_1	full_length	3
AAAL_10	full_length	481
AAAL_10	chimeric	1
AAAL_2	full_length	447
AAAL_2	ambiguous	3
AAAL_2	chimeric	2
AAAL_3	full_length	96
AAAL_3	ambiguous	1
AAAL_4	full_length	105
AAAL_4	chimeric	9
